!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
-laughter-crooks- 1.0	k r uh k s
-laughter-crunch- 1.0	k r ah n ch
-laughter-cups- 1.0	k ah p s
-laughter-curb- 1.0	k er b
-laughter-cure- 1.0	k y uh r
-laughter-customers- 1.0	k ah s t ax m er z
-laughter-cut- 1.0	k ah t
-laughter-cute- 1.0	k y uw t
-laughter-d's- 1.0	d iy z
-laughter-dallas- 1.0	d ae l ax s
-laughter-damage- 1.0	d ae m ih jh
-laughter-damn- 1.0	d ae m
-laughter-dark- 1.0	d aa r k
-laughter-darkroom- 1.0	d aa r k r uw m
-laughter-darned- 1.0	d aa r n d
-laughter-date- 1.0	d ey t
-laughter-dated- 1.0	d ey t ih d
-laughter-day- 1.0	d ey
-laughter-days- 1.0	d ey z
-laughter-dead- 1.0	d eh d
-laughter-deadliest- 1.0	d eh d l iy ih s t
-laughter-deal- 1.0	d iy l
-laughter-dealership- 1.0	d iy l er sh ih p
-laughter-dealing- 1.0	d iy l ih ng
-laughter-dear- 1.0	d iy r
-laughter-death- 1.0	d eh th
-laughter-debt- 1.0	d eh t
-laughter-debts- 1.0	d eh t s
-laughter-decided- 1.0	d ih s ay d ih d
-laughter-decimal- 1.0	d eh s ih m ax l
-laughter-declare- 1.0	d ih k l ey r
-laughter-declared- 1.0	d ih k l ey r d
-laughter-decomposes- 1.0	d iy k ax m p ow z ih z
-laughter-decorous- 1.0	d eh k ax r ih s
-laughter-dedicated- 1.0	d eh d ih k ey t ih d
-laughter-deduc-tible-- 1.0	d ih d ah k
-laughter-deer- 1.0	d iy r
-laughter-definite- 1.0	d eh f ih n ih t
-laughter-definitely- 1.0	d eh f ih n ih t l iy
-laughter-definition- 1.0	d eh f ih n ih sh ih n
-laughter-degrading- 1.0	d ih g r ey d ih ng
-laughter-degree- 1.0	d ax g r iy
-laughter-delicacy- 1.0	d eh l ih k ax s iy
-laughter-delicious- 1.0	d ih l ih sh ih s
-laughter-deliver- 1.0	d ih l ih v er
-laughter-demographically- 1.0	d eh m ax g r ae f ih k l iy
-laughter-demonstrating- 1.0	d eh m ax n s t r ey t ih ng
-laughter-dent- 1.0	d eh n t
-laughter-department- 1.0	d ih p aa r t m ih n t
-laughter-deposit- 1.0	d ih p aa z ih t
-laughter-depressed- 1.0	d ih p r eh s t
-laughter-depressing- 1.0	d ih p r eh s ih ng
-laughter-deranged- 1.0	d ih r ey n jh d
-laughter-deserve- 1.0	d ih z er v
-laughter-dessert- 1.0	d ih z er t
-laughter-dew- 1.0	d uw
-laughter-did- 1.0	d ih d
-laughter-didn't- 1.0	d ih d en t
-laughter-die- 1.0	d ay
-laughter-died- 1.0	d ay d
-laughter-difference- 1.0	d ih f ax r ih n s
-laughter-different- 1.0	d ih f ax r ih n t
-laughter-differently- 1.0	d ih f r ih n t l iy
-laughter-difficult- 1.0	d ih f ih k ax l t
-laughter-difficulty- 1.0	d ih f ih k ah l t iy
-laughter-dinner- 1.0	d ih n er
-laughter-dinners- 1.0	d ih n er z
-laughter-direct- 1.0	d ih r eh k t
-laughter-direction- 1.0	d ih r eh k sh ih n
-laughter-dirt- 1.0	d er t
-laughter-dirty- 1.0	d er t iy
-laughter-disappointing- 1.0	d ih s ax p oy n t ih ng
-laughter-disciplinarian- 1.0	d ih s ih p l ih n eh r iy ih n
-laughter-dissertation- 1.0	d ih s er t ey sh ih n
-laughter-distance- 1.0	d ih s t ih n s
-laughter-divorce- 1.0	d ih v ow r s
-laughter-do- 1.0	d uw
-laughter-doctor- 1.0	d aa k t er
-laughter-dodge- 1.0	d aa jh
-laughter-doe-s-- 1.0	d ah
-laughter-does- 1.0	d ah z
-laughter-doesn't- 1.0	d ah z en t
-laughter-dog- 1.0	d ao g
-laughter-doing- 1.0	d uw ih ng
-laughter-dollar- 1.0	d ao l er
-laughter-dollars- 1.0	d ao l er z
-laughter-dolled- 1.0	d ao l d
-laughter-don'-t-- 1.0	d ow n
-laughter-don't- 1.0	d ow n t
-laughter-done- 1.0	d ah n
-laughter-door- 1.0	d ow r
-laughter-dorm- 1.0	d ow r m
-laughter-doubt- 1.0	d aw t
-laughter-down- 1.0	d aw n
-laughter-downstream- 1.0	d aw n s t r iy m
-laughter-dozen- 1.0	d ah z ih n
-laughter-dress- 1.0	d r eh s
-laughter-dressed- 1.0	d r eh s t
-laughter-dresses- 1.0	d r eh s ih z
-laughter-drink- 1.0	d r ih ng k
-laughter-drive- 1.0	d r ay v
-laughter-driving- 1.0	d r ay v ih ng
-laughter-drought- 1.0	d r aw t
-laughter-drove- 1.0	d r ow v
-laughter-drown- 1.0	d r aw n
-laughter-drugs- 1.0	d r ah g z
-laughter-dry- 1.0	d r ay
-laughter-dues- 1.0	d uw z
-laughter-during- 1.0	d uh r ih ng
-laughter-dustin- 1.0	d ah s t ih n
-laughter-e-minently-- 1.0	eh m ih n ih n t l iy
-laughter-e-xactly-- 1.0	eh
-laughter-each- 1.0	iy ch
-laughter-earlier- 1.0	er l iy er
-laughter-early- 1.0	er l iy
-laughter-ears- 1.0	iy r z
-laughter-easier- 1.0	iy z iy er
-laughter-eastern- 1.0	iy s t er n
-laughter-easy- 1.0	iy z iy
-laughter-eat- 1.0	iy t
-laughter-eating- 1.0	iy t ih ng
-laughter-effect- 1.0	ih f eh k t
-laughter-effective- 1.0	ih f eh k t ih v
-laughter-eight- 1.0	ey t
-laughter-eighteen- 1.0	ey t iy n
-laughter-eighty- 1.0	ey t iy
-laughter-either- 1.0	ay dh er
-laughter-electoral- 1.0	ih l eh k t ax r ax l
-laughter-else's- 1.0	eh l s ih z
-laughter-else- 1.0	eh l s
-laughter-embarrassing- 1.0	eh m b ae r ax s ih ng
-laughter-embarrassment- 1.0	eh m b ae r ax s m ih n t
-laughter-emergencies- 1.0	ih m er jh ih n s iy z
-laughter-emergency- 1.0	ih m er jh ih n s iy
-laughter-eminently- 1.0	eh m ih n ih n t l iy
-laughter-enchiladas- 1.0	eh n ch ih l aa d ax z
-laughter-encouraging- 1.0	eh n k er r ih jh ih ng
-laughter-end- 1.0	eh n d
-laughter-energetic- 1.0	eh n er jh eh t ih k
-laughter-energy- 1.0	eh n er jh iy
-laughter-engine- 1.0	eh n jh ih n
-laughter-england- 1.0	ih ng g l ax n d
-laughter-engulfed- 1.0	eh n g ah l f t
-laughter-enjoy- 1.0	eh n jh oy
-laughter-enjoying- 1.0	eh n jh oy ih ng
-laughter-enough- 1.0	ih n ah f
-laughter-enroll- 1.0	eh n r ow l
-laughter-entire- 1.0	eh n t ay r
-laughter-entrepreneurial- 1.0	aa n t r ax p r ax n uh r iy ax l
-laughter-envelope- 1.0	aa n v ax l ow p
-laughter-environment- 1.0	eh n v ay r ax n m ih n t
-laughter-equal- 1.0	iy k w ax l
-laughter-equipment- 1.0	ih k w ih p m ih n t
-laughter-errors- 1.0	eh r er z
-laughter-especially- 1.0	eh s p eh sh ax l iy
-laughter-essentially- 1.0	eh s eh n ch ax l iy
-laughter-europe- 1.0	y uh r ax p
-laughter-even- 1.0	iy v ax n
-laughter-evening- 1.0	iy v n ih ng
-laughter-ever- 1.0	eh v er
-laughter-every- 1.0	eh v r iy
-laughter-everybody's- 1.0	eh v r iy b aa d iy z
-laughter-everybody- 1.0	eh v r iy b aa d iy
-laughter-everyday- 1.0	eh v r iy d ey
-laughter-everyone- 1.0	eh v r iy w ah n
-laughter-everything- 1.0	eh v r iy th ih ng
-laughter-everywhere- 1.0	eh v r iy w ey r
-laughter-evidently- 1.0	eh v ih d eh n t l iy
-laughter-ex-ercise-- 1.0	eh k s
-laughter-exa-ctly-- 1.0	eh g z ae k t l iy
-laughter-exac-tly-- 1.0	eh g z ae k t l iy
-laughter-exactly- 1.0	eh g z ae k t l iy
-laughter-example- 1.0	eh g z ae m p ax l
-laughter-exception- 1.0	eh k s eh p sh ih n
-laughter-excited- 1.0	eh k s ay t ih d
-laughter-excuse- 1.0	eh k s k y uw s
-laughter-exercise- 1.0	eh k s er s ay z
-laughter-exercising- 1.0	eh k s er s ay z ih ng
-laughter-exist- 1.0	eh g z ih s t
-laughter-expect- 1.0	eh k s p eh k t
-laughter-expecting- 1.0	eh k s p eh k t ih ng
-laughter-expensive- 1.0	eh k s p eh n s ih v
-laughter-experience- 1.0	eh k s p ih r iy ih n s
-laughter-experienced- 1.0	eh k s p ih r iy ih n s t
-laughter-explain- 1.0	eh k s p l ey n
-laughter-express- 1.0	eh k s p r eh s
-laughter-extent- 1.0	eh k s t eh n t
-laughter-eye- 1.0	ay
-laughter-eyes- 1.0	ay z
-laughter-eyesore- 1.0	ay s ow r
-laughter-fabricate- 1.0	f ae b r ih k ey t
-laughter-face- 1.0	f ey s
-laughter-faces- 1.0	f ey s ih z
-laughter-facilities- 1.0	f ax s ih l ih t iy z
-laughter-fact- 1.0	f ae k t
-laughter-factor- 1.0	f ae k t er
-laughter-factored- 1.0	f ae k t er d
-laughter-fair- 1.0	f ey r
-laughter-fairly- 1.0	f ey r l iy
-laughter-fall- 1.0	f ao l
-laughter-falling- 1.0	f ao l ih ng
-laughter-families- 1.0	f ae m ax l iy z
-laughter-family- 1.0	f ae m ax l iy
-laughter-fans- 1.0	f ae n s
-laughter-fantastic- 1.0	f ae n t ae s t ih k
-laughter-far- 1.0	f aa r
-laughter-farmers- 1.0	f aa r m er z
-laughter-fascinated- 1.0	f ae s ih n ey t ih d
-laughter-fast- 1.0	f ae s t
-laughter-father- 1.0	f aa dh er
-laughter-favorite- 1.0	f ey v ax r ih t
-laughter-favorites- 1.0	f ey v ax r ih t s
-laughter-feasible- 1.0	f iy z ax b ax l
-laughter-february- 1.0	f eh b r uw ey r iy
-laughter-feed- 1.0	f iy d
-laughter-feel- 1.0	f iy l
-laughter-feeling- 1.0	f iy l ih ng
-laughter-feelings- 1.0	f iy l ih ng z
-laughter-feels- 1.0	f iy l z
-laughter-feet- 1.0	f iy t
-laughter-fell- 1.0	f eh l
-laughter-felt- 1.0	f eh l t
-laughter-few- 1.0	f y uw
-laughter-fiberglass- 1.0	f ay b er g l ae s
-laughter-fifties- 1.0	f ih f t iy z
-laughter-fifty- 1.0	f ih f t iy
-laughter-fight- 1.0	f ay t
-laughter-figure- 1.0	f ih g y er
-laughter-figured- 1.0	f ih g y er d
-laughter-fill- 1.0	f ih l
-laughter-filled- 1.0	f ih l d
-laughter-filter- 1.0	f ih l t er
-laughter-filthy- 1.0	f ih l th iy
-laughter-finally- 1.0	f ay n ax l iy
-laughter-financial- 1.0	f ay n ae n sh ax l
-laughter-find- 1.0	f ay n d
-laughter-fine- 1.0	f ay n
-laughter-finish- 1.0	f ih n ih sh
-laughter-finished- 1.0	f ih n ih sh t
-laughter-fire- 1.0	f ay r
-laughter-fires- 1.0	f ay r z
-laughter-first- 1.0	f er s t
-laughter-fish- 1.0	f ih sh
-laughter-fit- 1.0	f ih t
-laughter-five- 1.0	f ay v
-laughter-flat- 1.0	f l ae t
-laughter-flavor- 1.0	f l ey v er
-laughter-flowerbeds- 1.0	f l aw r b eh d
-laughter-flowers- 1.0	f l aw er z
-laughter-foley's- 1.0	f ow l iy z
-laughter-follow- 1.0	f ao l ow
-laughter-food- 1.0	f uw d
-laughter-foot- 1.0	f uh t
-laughter-football- 1.0	f uh t b ao l
-laughter-for- 1.0	f er
-laughter-ford- 1.0	f ow r d
-laughter-fords- 1.0	f ow r d z
-laughter-forest- 1.0	f ow r ih s t
-laughter-forever- 1.0	f ax r eh v er
-laughter-forget- 1.0	f ow r g eh t
-laughter-forgot- 1.0	f ow r g aa t
-laughter-forgotten- 1.0	f ow r g aa t ax n
-laughter-forty- 1.0	f ow r t iy
-laughter-forward- 1.0	f ow r w er d
-laughter-found- 1.0	f aw n d
-laughter-four- 1.0	f ow r
-laughter-framingham- 1.0	f r ey m ih ng hh ae m
-laughter-free- 1.0	f r iy
-laughter-frequently- 1.0	f r iy k w ih n t l iy
-laughter-friday- 1.0	f r ay d ey
-laughter-fried- 1.0	f r ay d
-laughter-friendly- 1.0	f r eh n d l iy
-laughter-friends- 1.0	f r eh n d z
-laughter-frightening- 1.0	f r ay t ax n ih ng
-laughter-from- 1.0	f r ah m
-laughter-front- 1.0	f r ah n t
-laughter-frostbitten- 1.0	f r ao s t b ih t en
-laughter-frozen- 1.0	f r ow z en
-laughter-frustrating- 1.0	f r ah s t r ey t ih ng
-laughter-full- 1.0	f uh l
-laughter-full-time- 1.0	f uh l t ay m
-laughter-fumes- 1.0	f y uw m z
-laughter-fun- 1.0	f ah n
-laughter-fund- 1.0	f ah n d
-laughter-funeral- 1.0	f y uw n ax r ax l
-laughter-funny- 1.0	f ah n iy
-laughter-furnish- 1.0	f er n ih sh
-laughter-future- 1.0	f y uw ch er
-laughter-futuristic- 1.0	f y uw ch ax r ih s t ih k
-laughter-game- 1.0	g ey m
-laughter-games- 1.0	g ey m z
-laughter-garage- 1.0	g ax r aa jh
-laughter-garbage- 1.0	g aa r b ih jh
-laughter-garden- 1.0	g aa r d en
-laughter-gardening- 1.0	g aa r d n ih ng
-laughter-garland- 1.0	g aa r l ax n d
-laughter-gave- 1.0	g ey v
-laughter-gee- 1.0	jh iy
-laughter-generally- 1.0	jh eh n ax r ax l iy
-laughter-generation- 1.0	jh eh n ax r ey sh ih n
-laughter-get- 1.0	g eh t
-laughter-gets- 1.0	g eh t s
-laughter-getting- 1.0	g eh t ih ng
-laughter-ghetto- 1.0	g eh t ow
-laughter-girl- 1.0	g er l
-laughter-girls- 1.0	g er l z
-laughter-give- 1.0	g ih v
-laughter-gives- 1.0	g ih v z
-laughter-glad- 1.0	g l ae d
-laughter-glasses- 1.0	g l ae s ih z
-laughter-go- 1.0	g ow
-laughter-go-sh-- 1.0	g aa sh
-laughter-go-t-- 1.0	g aa t
-laughter-god- 1.0	g aa d
-laughter-goes- 1.0	g ow z
-laughter-going- 1.0	g ow ih ng
-laughter-golf- 1.0	g ao l f
-laughter-golfer- 1.0	g ao l f er
-laughter-golly- 1.0	g ao l iy
-laughter-gone- 1.0	g ao n
-laughter-gonna- 1.0	g ah n ax
-laughter-good- 1.0	g uh d
-laughter-good-bye- 1.0	g uh d b ay
-laughter-goodness- 1.0	g uh d n ih s
-laughter-gore- 1.0	g ow r
-laughter-gosh- 1.0	g aa sh
-laughter-gossiping- 1.0	g aa s ih p ih ng
-laughter-got- 1.0	g aa t
-laughter-gotten- 1.0	g aa t en
-laughter-government- 1.0	g ah v er m ih n t
-laughter-governor- 1.0	g ah v er n er
-laughter-grab- 1.0	g r ae b
-laughter-grabbing- 1.0	g r ae b ih ng
-laughter-grade- 1.0	g r ey d
-laughter-graduate- 1.0	g r ae jh uw ey t
-laughter-grafting- 1.0	g r ae f t ih ng
-laughter-grand- 1.0	g r ae n d
-laughter-grandbaby- 1.0	g r ae n d b ey b iy
-laughter-grandchild- 1.0	g r ae n ch ay l d
-laughter-grandchildren- 1.0	g r ae n ch ih l d r ih n
-laughter-grandfather- 1.0	g r ae n d f aa dh er
-laughter-grandparents- 1.0	g r ae n d p ey r ih n t s
-laughter-grass- 1.0	g r ae s
-laughter-gray- 1.0	g r ey
-laughter-great- 1.0	g r ey t
-laughter-green- 1.0	g r iy n
-laughter-grief- 1.0	g r iy f
-laughter-griped- 1.0	g r ay p t
-laughter-ground- 1.0	g r aw n d
-laughter-group- 1.0	g r uw p
-laughter-grow- 1.0	g r ow
-laughter-growing- 1.0	g r ow ih ng
-laughter-grown-ups- 1.0	g r ow n ah p s
-laughter-gue-ss-- 1.0	g eh
-laughter-guess- 1.0	g eh s
-laughter-guilty- 1.0	g ih l t iy
-laughter-gumbo- 1.0	g ah m b ow
-laughter-gun- 1.0	g ah n
-laughter-guns- 1.0	g ah n z
-laughter-guts- 1.0	g ah t s
-laughter-guy- 1.0	g ay
-laughter-guys- 1.0	g ay z
-laughter-ha-s-- 1.0	hh ae
-laughter-ha-ve-- 1.0	hh ae
-laughter-habits- 1.0	hh ae b ih t s
-laughter-had- 1.0	hh ae d
-laughter-hair- 1.0	hh ey r
-laughter-half- 1.0	hh ae f
-laughter-hallucinations- 1.0	hh ax l uw s ih n ey sh ih n z
-laughter-ham- 1.0	hh ae m
-laughter-hamburgers- 1.0	hh ae m b er g er z
-laughter-hand- 1.0	hh ae n d
-laughter-handle- 1.0	hh ae n d ax l
-laughter-handouts- 1.0	hh ae n d aw t s
-laughter-hands- 1.0	hh ae n d z
-laughter-hang- 1.0	hh ae ng
-laughter-hangover- 1.0	hh ae ng ow v er
-laughter-happen- 1.0	hh ae p ax n
-laughter-happened- 1.0	hh ae p ax n d
-laughter-happening- 1.0	hh ae p ax n ih ng
-laughter-happens- 1.0	hh ae p ax n z
-laughter-happy- 1.0	hh ae p iy
-laughter-hard- 1.0	hh aa r d
-laughter-harder- 1.0	hh aa r d er
-laughter-harry- 1.0	hh ae r iy
-laughter-has- 1.0	hh ae z
-laughter-hat- 1.0	hh ae t
-laughter-hate- 1.0	hh ey t
-laughter-have- 1.0	hh ae v
-laughter-haven't- 1.0	hh ae v ax n t
-laughter-having- 1.0	hh ae v ih ng
-laughter-he's- 1.0	hh iy z
-laughter-he- 1.0	hh iy
-laughter-headache- 1.0	hh eh d ey k
-laughter-headlines- 1.0	hh eh d l ay n z
-laughter-heads- 1.0	hh eh d z
-laughter-health- 1.0	hh eh l th
-laughter-hear- 1.0	hh iy r
-laughter-heard- 1.0	hh er d
-laughter-hearing- 1.0	hh iy r ih ng
-laughter-hearts- 1.0	hh aa r t s
-laughter-heat- 1.0	hh iy t
-laughter-heavens- 1.0	hh eh v ax n z
-laughter-hectic- 1.0	hh eh k t ih k
-laughter-heinz- 1.0	hh ay n z
-laughter-hell- 1.0	hh eh l
-laughter-help- 1.0	hh eh l p
-laughter-hens- 1.0	hh eh n z
-laughter-her- 1.0	hh er
-laughter-here- 1.0	hh iy r
-laughter-hi- 1.0	hh ay
-laughter-hi-de-- 1.0	hh ay
-laughter-hiding- 1.0	hh ay d ih ng
-laughter-highlands- 1.0	hh ay l ae n d z
-laughter-highly- 1.0	hh ay l iy
-laughter-highway- 1.0	hh ay w ey
-laughter-him- 1.0	hh ih m
-laughter-himself- 1.0	hh ih m s eh l f
-laughter-his- 1.0	hh ih z
-laughter-historically- 1.0	hh ih s t ow r ih k l iy
-laughter-hit- 1.0	hh ih t
-laughter-hm- 1.0	hh m
-laughter-hobby- 1.0	hh aa b iy
-laughter-hoffman- 1.0	hh ao f m ax n
-laughter-hold- 1.0	hh ow l d
-laughter-hole- 1.0	hh ow l
-laughter-holes- 1.0	hh ow l z
-laughter-home's- 1.0	hh ow m z
-laughter-home- 1.0	hh ow m
-laughter-honest- 1.0	aa n ih s t
-laughter-hope- 1.0	hh ow p
-laughter-hopefully- 1.0	hh ow p f ax l iy
-laughter-hoping- 1.0	hh ow p ih ng
-laughter-horrible- 1.0	hh ow r ih b ax l
-laughter-hospital- 1.0	hh aa s p ih t ax l
-laughter-hospitals- 1.0	hh aa s p ih t ax l z
-laughter-hot- 1.0	hh aa t
-laughter-hotel- 1.0	hh ow t eh l
-laughter-hotels- 1.0	hh ow t eh l z
-laughter-hour- 1.0	aw er
-laughter-hours- 1.0	aw er z
-laughter-house- 1.0	hh aw s
-laughter-housewives- 1.0	hh aw s w ay v z
-laughter-housing- 1.0	hh aw z ih ng
-laughter-houston- 1.0	hh y uw s t ih n
-laughter-how- 1.0	hh aw
-laughter-however- 1.0	hh aw eh v er
-laughter-howl- 1.0	hh aw l
-laughter-huge- 1.0	hh y uw jh
-laughter-huh- 1.0	hh ah
-laughter-hum-um- 1.0	hh m hh m
-laughter-humans- 1.0	hh y uw m ax n z
-laughter-humid- 1.0	hh y uw m ih d
-laughter-humidi-ty-- 1.0	hh y uw m ih d ih
-laughter-hundred- 1.0	hh ah n d r ih d
-laughter-hurt- 1.0	hh er t
-laughter-husband's- 1.0	hh ah z b ax n d z
-laughter-husband- 1.0	hh ah z b ax n d
-laughter-hyatt- 1.0	hh ay ih t
-laughter-hysterical- 1.0	hh ih s t eh r ih k ax l
-laughter-i'd- 1.0	ay d
-laughter-i'll- 1.0	ay l
-laughter-i'm- 1.0	ay m
-laughter-i've- 1.0	ay v
-laughter-i- 1.0	ay
-laughter-i-- 1.0	ay
-laughter-i-owa-- 1.0	ay ax w ax
-laughter-i-t's-- 1.0	ih
-laughter-idea- 1.0	ay d iy ax
-laughter-if- 1.0	ih f
-laughter-ignore- 1.0	ih g n ow r
-laughter-imagine- 1.0	ih m ae jh ih n
-laughter-immigrant- 1.0	ih m ih g r ih n t
-laughter-impact- 1.0	ih m p ae k t
-laughter-important- 1.0	ih m p ow r t ih n t
-laughter-improvements- 1.0	ih m p r uw v m ih n t s
-laughter-in- 1.0	ih n
-laughter-incentive- 1.0	ih n s eh n t ih v
-laughter-inches- 1.0	ih n ch ih z
-laughter-includes- 1.0	ih n k l uw d z
-laughter-including- 1.0	ih n k l uw d ih ng
-laughter-incoherent- 1.0	ih n k ax hh iy r ih n t
-laughter-incredible- 1.0	ih n k r eh d ih b ax l
-laughter-incredibly- 1.0	ih n k r eh d ih b l iy
-laughter-indiana- 1.0	ih n d iy ae n ax
-laughter-indoor- 1.0	ih n d ow r
-laughter-influence- 1.0	ih n f l uw ih n s
-laughter-information- 1.0	ih n f er m ey sh ih n
-laughter-informed- 1.0	ih n f ow r m d
-laughter-inner- 1.0	ih n er
-laughter-innings- 1.0	ih n ih ng z
-laughter-inside- 1.0	ih n s ay d
-laughter-instance- 1.0	ih n s t ih n s
-laughter-instead- 1.0	ih n s t eh d
-laughter-instrument- 1.0	ih n s t r ax m ih n t
-laughter-instruments- 1.0	ih n s t r ax m ih n t s
-laughter-insulted- 1.0	ih n s ah l t ih d
-laughter-insurance- 1.0	ih n sh uh r ih n s
-laughter-integrity- 1.0	ih n t eh g r ih t iy
-laughter-intelligent- 1.0	ih n t eh l ih jh ih n t
-laughter-interest- 1.0	ih n t ax r ih s t
-laughter-interested- 1.0	ih n t ax r eh s t ih d
-laughter-interesting- 1.0	ih n t ax r eh s t ih ng
-laughter-international- 1.0	ih n t er n ae sh ih n ax l
-laughter-internationally- 1.0	ih n t er n ae sh ih n ax l iy
-laughter-internet- 1.0	ih n t er n eh t
-laughter-interviewed- 1.0	ih n t er v y uw d
-laughter-into- 1.0	ih n t ax
-laughter-introduced- 1.0	ih n t r ax d uw s t
-laughter-invasion- 1.0	ih n v ey zh ih n
-laughter-invested- 1.0	ih n v eh s t ih d
-laughter-involved- 1.0	ih n v aa l v d
-laughter-irate- 1.0	ay r ey t
-laughter-iron- 1.0	ay r n
-laughter-ironically- 1.0	ay r aa n ih k l iy
-laughter-irrational- 1.0	ih r ae sh ih n ax l
-laughter-is- 1.0	ih z
-laughter-isn't- 1.0	ih z ih n t
-laughter-it'd- 1.0	ih t ih d
-laughter-it'll- 1.0	ih t ax l
-laughter-it's- 1.0	ih t s
-laughter-it- 1.0	ih t
-laughter-item- 1.0	ay t ax m
-laughter-itself- 1.0	ih t s eh l f
-laughter-jacket- 1.0	jh ae k ih t
-laughter-jail- 1.0	jh ey l
-laughter-jazz- 1.0	jh ae z
-laughter-jeepers- 1.0	jh iy p er z
-laughter-jeez- 1.0	jh iy z
-laughter-jerry- 1.0	jh eh r iy
-laughter-jersey- 1.0	jh er z iy
-laughter-job- 1.0	jh aa b
-laughter-jobs- 1.0	jh aa b z
-laughter-johnny- 1.0	jh aa n iy
-laughter-johns- 1.0	jh aa n z
-laughter-joint- 1.0	jh oy n t
-laughter-joke- 1.0	jh ow k
-laughter-jones- 1.0	jh ow n z
-laughter-journalism- 1.0	jh er n ax l ih z ax m
-laughter-ju-st-- 1.0	jh ah
-laughter-judge- 1.0	jh ah jh
-laughter-judges- 1.0	jh ah jh ih z
-laughter-judgment- 1.0	jh ah jh m ih n t
-laughter-jugs- 1.0	jh ah g z
-laughter-junipers- 1.0	jh uw n ih p er z
-laughter-junk- 1.0	jh ah ng k
-laughter-juries- 1.0	jh uh r iy z
-laughter-jury- 1.0	jh uh r iy
-laughter-just- 1.0	jh ah s t
-laughter-justice- 1.0	jh ah s t ih s
-laughter-k- 1.0	k ey
-laughter-kathleen- 1.0	k ae th l iy n
-laughter-keep- 1.0	k iy p
-laughter-keeps- 1.0	k iy p s
-laughter-kennedy- 1.0	k eh n ih d iy
-laughter-kept- 1.0	k eh p t
-laughter-key- 1.0	k iy
-laughter-keyboard- 1.0	k iy b ow r d
-laughter-kid's- 1.0	k ih d z
-laughter-kid- 1.0	k ih d
-laughter-kidding- 1.0	k ih d ih ng
-laughter-kids'- 1.0	k ih d z
-laughter-kids- 1.0	k ih d z
-laughter-kill- 1.0	k ih l
-laughter-killed- 1.0	k ih l d
-laughter-killing- 1.0	k ih l ih ng
-laughter-kind- 1.0	k ay n d
-laughter-kindercare- 1.0	k ih n d er k ey r
-laughter-kinds- 1.0	k ay n d z
-laughter-king- 1.0	k ih ng
-laughter-kitchen- 1.0	k ih ch ih n
-laughter-kmart- 1.0	k ey m aa r t
-laughter-kn-ow-- 1.0	n
-laughter-knee- 1.0	n iy
-laughter-knew- 1.0	n uw
-laughter-knit- 1.0	n ih t
-laughter-knock- 1.0	n aa k
-laughter-know- 1.0	n ow
-laughter-knowing- 1.0	n ow ih ng
-laughter-knows- 1.0	n ow z
-laughter-la-nd-- 1.0	l ae n d
-laughter-lady's- 1.0	l ey d iy z
-laughter-laid- 1.0	l ey d
-laughter-lamb- 1.0	l ae m
-laughter-lambs- 1.0	l ae m z
-laughter-land- 1.0	l ae n d
-laughter-landlocked- 1.0	l ae n d l aa k t
-laughter-larger- 1.0	l aa r jh er
-laughter-las- 1.0	l aa s
-laughter-last- 1.0	l ae s t
-laughter-late- 1.0	l ey t
-laughter-lately- 1.0	l ey t l iy
-laughter-later- 1.0	l ey t er
-laughter-laughed- 1.0	l ae f t
-laughter-law- 1.0	l ao
-laughter-law-abiding- 1.0	l ao ax b ay d ih ng
-laughter-lawn- 1.0	l ao n
-laughter-lawyer- 1.0	l ao y er
-laughter-lawyers- 1.0	l ao y er z
-laughter-lay- 1.0	l ey
-laughter-laying- 1.0	l ey ih ng
-laughter-lbj- 1.0	eh l b iy jh ey
-laughter-learn- 1.0	l er n
-laughter-learned- 1.0	l er n d
-laughter-learning- 1.0	l er n ih ng
-laughter-least- 1.0	l iy s t
-laughter-leave- 1.0	l iy v
-laughter-left- 1.0	l eh f t
-laughter-legs- 1.0	l eh g z
-laughter-length- 1.0	l eh ng k th
-laughter-leotards- 1.0	l iy ax t aa r d z
-laughter-less- 1.0	l eh s
-laughter-let- 1.0	v ae l ey
-laughter-level- 1.0	l eh v ax l
-laughter-liberal- 1.0	l ih b ax r ax l
-laughter-liberalism- 1.0	l ih b ax r ax l ih z ax m
-laughter-license- 1.0	l ay s ih n s
-laughter-life's- 1.0	l ay f s
-laughter-life- 1.0	l ay f
-laughter-lifetime- 1.0	l ay f t ay m
-laughter-ligaments- 1.0	l ih g ax m ih n t s
-laughter-light- 1.0	l ay t
-laughter-like- 1.0	l ay k
-laughter-liked- 1.0	l ay k t
-laughter-likelihood- 1.0	l ay k l iy hh uh d
-laughter-likes- 1.0	l ay k s
-laughter-limit- 1.0	l ih m ih t
-laughter-limitations- 1.0	l ih m ih t ey sh ih n z
-laughter-limousine- 1.0	l ih m ax z iy n
-laughter-line- 1.0	l ay n
-laughter-list- 1.0	l ih s t
-laughter-listen- 1.0	l ih s ih n
-laughter-listening- 1.0	l ih s ih n ih ng
-laughter-little- 1.0	l ih t ax l
-laughter-liv-ing-- 1.0	l ih v
-laughter-live- 1.0	l ay v
-laughter-lived- 1.0	l ih v d
-laughter-living- 1.0	l ih v ih ng
-laughter-loan- 1.0	l ow n
-laughter-lobster- 1.0	l aa b s t er
