!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
-LAUGHTER-BIBLE-	B_B AY_I B_I AX_I L_E #1
-LAUGHTER-BICYCLER-	B_B AY_I S_I IH_I K_I L_I ER_E
-LAUGHTER-BIG-	B_B IH_I G_E #1
-LAUGHTER-BIGGEST-	B_B IH_I G_I AX_I S_I T_E #1
-LAUGHTER-BILL-	B_B IH_I L_E #1
-LAUGHTER-BILLS-	B_B IH_I L_I Z_E #1
-LAUGHTER-BIM-	B_B IH_I M_E #1
-LAUGHTER-BIODEGRADING-	B_B AY_I OW_I D_I IH_I G_I R_I EY_I D_I IH_I NG_E
-LAUGHTER-BIT-	B_B IH_I T_E #1
-LAUGHTER-BITING-	B_B AY_I T_I IH_I NG_E #1
-LAUGHTER-BIZARRE-	B_B IH_I Z_I AA_I R_E #1
-LAUGHTER-BLAMES-	B_B L_I EY_I M_I Z_E
-LAUGHTER-BLEW-	B_B L_I UW_E #1
-LAUGHTER-BLOCKS-	B_B L_I AA_I K_I S_E #1
-LAUGHTER-BLOODSTREAM-	B_B L_I AH_I D_I S_I T_I R_I IY_I M_E #1
-LAUGHTER-BODY-	B_B AA_I D_I IY_E #2
-LAUGHTER-BOGEY-	B_B OW_I G_I IY_E #1
-LAUGHTER-BOMB-	B_B AA_I M_E #1
-LAUGHTER-BONDS-	B_B AA_I N_I D_I Z_E #1
-LAUGHTER-BOOK-	B_B UH_I K_E #1
-LAUGHTER-BOOKS-	B_B UH_I K_I S_E #1
-LAUGHTER-BOONIES-	B_B UW_I N_I IY_I Z_E #1
-LAUGHTER-BOOTS-	B_B UW_I T_I S_E #1
-LAUGHTER-BORING-	B_B OW_I R_I IH_I NG_E #1
-LAUGHTER-BORN-	B_B OW_I R_I N_E #1
-LAUGHTER-BORROWING-	B_B AA_I R_I OW_I IH_I NG_E #1
-LAUGHTER-BOSS-	B_B AO_I S_E #1
-LAUGHTER-BOTH-	B_B OW_I TH_E #1
-LAUGHTER-BOTHER-	B_B AA_I DH_I ER_E #1
-LAUGHTER-BOTHERED-	B_B AA_I DH_I ER_I D_E #1
-LAUGHTER-BOTHERING-	B_B AA_I DH_I AX_I R_I IH_I NG_E #1
-LAUGHTER-BOTTLES-	B_B AA_I T_I EL_I Z_E #1
-LAUGHTER-BOTTOM-	B_B AA_I T_I AX_I M_E #1
-LAUGHTER-BOUGHT-	B_B AO_I T_E #1
-LAUGHTER-BOXES-	B_B AA_I K_I S_I IH_I Z_E #1
-LAUGHTER-BOY-	B_B OY_E #1
-LAUGHTER-BOYFRIEND-	B_B OY_I F_I R_I EH_I N_I D_E #1
-LAUGHTER-BOYFRIENDS-	B_B OY_I F_I R_I EH_I N_I D_I Z_E #1
-LAUGHTER-BRAIN-	B_B R_I EY_I N_E #1
-LAUGHTER-BRATS-	B_B R_I AE_I T_I S_E #1
-LAUGHTER-BREAD-	B_B R_I EH_I D_E #1
-LAUGHTER-BREAK-	B_B R_I EY_I K_E #1
-LAUGHTER-BREAKS-	B_B R_I EY_I K_I S_E #1
-LAUGHTER-BREATHED-	B_B R_I IY_I DH_I D_E #1
-LAUGHTER-BRIDGE-	B_B R_I IH_I JH_E #1
-LAUGHTER-BRING-	B_B R_I IH_I NG_E #1
-LAUGHTER-BROTHER-	B_B R_I AH_I DH_I ER_E #1
-LAUGHTER-BROUGHT-	B_B R_I AO_I T_E #1
-LAUGHTER-BROWNSTONE-	B_B R_I AW_I N_I S_I T_I OW_I N_E
-LAUGHTER-BS-	B_B IY_I EH_I S_E #1
-LAUGHTER-BU-T--	B_B AH_E #1
-LAUGHTER-BUCKS-	B_B AH_I K_I S_E #1
-LAUGHTER-BUDGET-	B_B AH_I JH_I IH_I T_E #1
-LAUGHTER-BUFFALO-	B_B AH_I F_I AX_I L_I OW_E #1
-LAUGHTER-BUILDING-	B_B IH_I L_I D_I IH_I NG_E #1
-LAUGHTER-BULIMIC-	B_B Y_I UW_I L_I IY_I M_I IH_I K_E #1
-LAUGHTER-BUMP-	B_B AH_I M_I P_E #1
-LAUGHTER-BUREAU-	B_B Y_I UH_I R_I OW_E #1
-LAUGHTER-BUREAUCRACY-	B_B Y_I UH_I R_I AA_I K_I R_I IH_I S_I IY_E #1
-LAUGHTER-BUREAUCRATIC-	B_B Y_I UH_I R_I AX_I K_I R_I AE_I T_I IH_I K_E #1
-LAUGHTER-BURIED-	B_B EH_I R_I IY_I D_E #1
-LAUGHTER-BURNED-	B_B ER_I N_I D_E #1
-LAUGHTER-BURNER-	B_B ER_I N_I ER_E #1
-LAUGHTER-BUS-	B_B AH_I S_E #1
-LAUGHTER-BUSINESS-	B_B IH_I Z_I N_I IH_I S_E #1
-LAUGHTER-BUST-	B_B AH_I S_I T_E #1
-LAUGHTER-BUSTED-	B_B AH_I S_I T_I IH_I D_E #1
-LAUGHTER-BUT-	B_B AH_I T_E #1
-LAUGHTER-BUTTS-	B_B AH_I T_I S_E #1
-LAUGHTER-BUY-	B_B AY_E #1
-LAUGHTER-BUYING-	B_B AY_I IH_I NG_E #1
-LAUGHTER-BUYS-	B_B AY_I Z_E #1
-LAUGHTER-BY-	B_B AY_E #2
-LAUGHTER-BYE-BYE-	B_B AY_I B_I AY_E #1
-LAUGHTER-CA-TFISH--	K_B AE_E #2
-LAUGHTER-CABINETS-	K_B AE_I B_I IH_I N_I IH_I T_E #1
-LAUGHTER-CABLE-	K_B EY_I B_I AX_I L_E #1
-LAUGHTER-CAGE-	K_B EY_I JH_E #1
-LAUGHTER-CALCULATORS-	K_B AE_I L_I K_I Y_I AX_I L_I EY_I T_I ER_I Z_E #1
-LAUGHTER-CALL-	K_B AO_I L_E #1
-LAUGHTER-CALLED-	K_B AO_I L_I D_E #1
-LAUGHTER-CALLING-	K_B AO_I L_I IH_I NG_E #1
-LAUGHTER-CALLS-	K_B AO_I L_I Z_E #1
-LAUGHTER-CAME-	K_B EY_I M_E #1
-LAUGHTER-CAMPING-	K_B AE_I M_I P_I IH_I NG_E #1
-LAUGHTER-CAMPUS-	K_B AE_I M_I P_I AX_I S_E #1
-LAUGHTER-CAN'T-	K_B AE_I N_I T_E #1
-LAUGHTER-CAN-	K_B AE_I N_E #1
-LAUGHTER-CANADA-	K_B AE_I N_I IH_I D_I AX_E #1
-LAUGHTER-CANS-	K_B AE_I N_I Z_E #1
-LAUGHTER-CANYON-	K_B AE_I N_I Y_I IH_I N_E #1
-LAUGHTER-CAPITAL-	K_B AE_I P_I IH_I T_I AX_I L_E #1
-LAUGHTER-CAR-	K_B AA_I R_E #1
-LAUGHTER-CARD-	K_B AA_I R_I D_E #1
-LAUGHTER-CARDS-	K_B AA_I R_I D_I Z_E #1
-LAUGHTER-CARE-	K_B EY_I R_E #1
-LAUGHTER-CAREFUL-	K_B EY_I R_I F_I AX_I L_E #1
-LAUGHTER-CARES-	K_B EY_I R_I Z_E #1
-LAUGHTER-CARPET-	K_B AA_I R_I P_I IH_I T_E #1
-LAUGHTER-CARRIED-	K_B AE_I R_I IY_I D_E #1
-LAUGHTER-CARROLLTON-	K_B AE_I R_I AX_I L_I T_I AX_I N_E #1
-LAUGHTER-CARRYING-	K_B AE_I R_I IY_I IH_I NG_E #1
-LAUGHTER-CARS-	K_B AA_I R_I Z_E #1
-LAUGHTER-CART-	K_B AA_I R_I T_E #1
-LAUGHTER-CASE-	K_B EY_I S_E #1
-LAUGHTER-CASES-	K_B EY_I S_I IH_I Z_E #1
-LAUGHTER-CASTRATION-	K_B AE_I S_I T_I R_I EY_I SH_I IH_I N_E #1
-LAUGHTER-CASUAL-	K_B AE_I ZH_I UW_I AX_I L_E #1
-LAUGHTER-CAT-	K_B AE_I T_E #1
-LAUGHTER-CATCH-	K_B AE_I CH_E #1
-LAUGHTER-CATCHES-	K_B AE_I CH_I IH_I Z_E #1
-LAUGHTER-CATEGORY-	K_B AE_I T_I AX_I G_I OW_I R_I IY_E #1
-LAUGHTER-CATS-	K_B AE_I T_I S_E #1
-LAUGHTER-CAUSES-	K_B AO_I Z_I IH_I Z_E #1
-LAUGHTER-CAUTION-	K_B AO_I SH_I IH_I N_E #1
-LAUGHTER-CEILING-	S_B IY_I L_I IH_I NG_E #1
-LAUGHTER-CENSUS-	S_B EH_I N_I S_I AX_I S_E #1
-LAUGHTER-CENTS-	S_B EH_I N_I T_I S_E #1
-LAUGHTER-CERTAIN-	S_B ER_I T_I EN_E #1
-LAUGHTER-CERTAINLY-	S_B ER_I T_I EN_I L_I IY_E #1
-LAUGHTER-CHA-NNEL--	CH_B AE_E #1
-LAUGHTER-CHAIRS-	CH_B EY_I R_I Z_E #1
-LAUGHTER-CHALLENGED-	CH_B AE_I L_I IH_I N_I JH_I D_E #1
-LAUGHTER-CHALLENGING-	CH_B AE_I L_I IH_I N_I JH_I IH_I NG_E #1
-LAUGHTER-CHAMBERS-	CH_B EY_I M_I B_I ER_I Z_E #1
-LAUGHTER-CHAMPION-	CH_B AE_I M_I P_I IY_I IH_I N_E #1
-LAUGHTER-CHANCE-	CH_B AE_I N_I S_E #1
-LAUGHTER-CHANGE-	CH_B EY_I N_I JH_E #1
-LAUGHTER-CHANGED-	CH_B EY_I N_I JH_I D_E #1
-LAUGHTER-CHANGES-	CH_B EY_I N_I JH_I IH_I Z_E #1
-LAUGHTER-CHANNELS-	CH_B AE_I N_I AX_I L_I Z_E #1
-LAUGHTER-CHARGE-	CH_B AA_I R_I JH_E #1
-LAUGHTER-CHASE-	CH_B EY_I S_E #1
-LAUGHTER-CHEAP-	CH_B IY_I P_E #1
-LAUGHTER-CHEAPER-	CH_B IY_I P_I ER_E #1
-LAUGHTER-CHECK-	CH_B EH_I K_E #1
-LAUGHTER-CHECKING-	CH_B EH_I K_I IH_I NG_E #1
-LAUGHTER-CHECKS-	CH_B EH_I K_I S_E #1
-LAUGHTER-CHICAGO-	SH_B IH_I K_I AA_I G_I OW_E #1
-LAUGHTER-CHILD-	CH_B AY_I L_I D_E #1
-LAUGHTER-CHILDREN-	CH_B IH_I L_I D_I R_I AX_I N_E #1
-LAUGHTER-CHOICE-	CH_B OY_I S_E #1
-LAUGHTER-CHOLESTEROL-	K_B AX_I L_I EH_I S_I T_I AX_I R_I AO_I L_E #1
-LAUGHTER-CHOSEN-	CH_B OW_I Z_I IH_I N_E #1
-LAUGHTER-CHRIST-	K_B R_I AY_I S_I T_E #1
-LAUGHTER-CHRISTMAS-	K_B R_I IH_I S_I M_I AX_I S_E #1
-LAUGHTER-CITY-	S_B IH_I T_I IY_E #1
-LAUGHTER-CLASS-	K_B L_I AE_I S_E #1
-LAUGHTER-CLASSICAL-	K_B L_I AE_I S_I IH_I K_I AX_I L_E #1
-LAUGHTER-CLEAN-	K_B L_I IY_I N_E #1
-LAUGHTER-CLEARLY-	K_B L_I IY_I R_I L_I IY_E #1
-LAUGHTER-CLOSE-	K_B L_I OW_I S_E #1
-LAUGHTER-CLOSELY-	K_B L_I OW_I S_I L_I IY_E #1
-LAUGHTER-CLOSEST-	K_B L_I OW_I S_I IH_I S_I T_E #1
-LAUGHTER-CLOTHES-	K_B L_I OW_I DH_I Z_E #1
-LAUGHTER-CLOTHING-	K_B L_I OW_I DH_I IH_I NG_E #1
-LAUGHTER-CLUBS-	K_B L_I AH_I B_I Z_E #1
-LAUGHTER-CLUTCH-	K_B L_I AH_I CH_E #1
-LAUGHTER-COACHING-	K_B OW_I CH_I IH_I NG_E #1
-LAUGHTER-COALS-	K_B OW_I L_I Z_E #1
-LAUGHTER-COAT-	K_B OW_I T_E #1
-LAUGHTER-COFFEE-	K_B AO_I F_I IY_E #1
-LAUGHTER-COHESIVELY-	K_B OW_I HH_I IY_I S_I IH_I V_I L_I IY_E
-LAUGHTER-COLD-	K_B OW_I L_I D_E #1
-LAUGHTER-COLLAPSE-	K_B AX_I L_I AE_I P_I S_E #1
-LAUGHTER-COLLECT-	K_B AX_I L_I EH_I K_I T_E #1
-LAUGHTER-COLLEGE-	K_B AO_I L_I IH_I JH_E #1
-LAUGHTER-COLORS-	K_B AH_I L_I ER_I Z_E #1
-LAUGHTER-COME-	K_B AH_I M_E #2
-LAUGHTER-COMES-	K_B AH_I M_I Z_E #1
-LAUGHTER-COMING-	K_B AH_I M_I IH_I NG_E #1
-LAUGHTER-COMMERCIALS-	K_B AX_I M_I ER_I SH_I AX_I L_I Z_E #1
-LAUGHTER-COMMUNIST-	K_B AA_I M_I Y_I AX_I N_I IH_I S_I T_E #1
-LAUGHTER-COMPANY-	K_B AH_I M_I P_I AX_I N_I IY_E #1
-LAUGHTER-COMPARABLE-	K_B AA_I M_I P_I AX_I R_I AX_I B_I AX_I L_E #1
-LAUGHTER-COMPARE-	K_B AX_I M_I P_I EY_I R_E #1
-LAUGHTER-COMPARED-	K_B AX_I M_I P_I EY_I R_I D_E #1
-LAUGHTER-COMPARISON-	K_B AX_I M_I P_I AE_I R_I IH_I S_I AX_I N_E #1
-LAUGHTER-COMPATIBLE-	K_B AX_I M_I P_I AE_I T_I AX_I B_I AX_I L_E #1
-LAUGHTER-COMPETENT-	K_B AA_I M_I P_I IH_I T_I IH_I N_I T_E #1
-LAUGHTER-COMPETITION-	K_B AA_I M_I P_I IH_I T_I IH_I SH_I IH_I N_E #1
-LAUGHTER-COMPLAIN-	K_B AX_I M_I P_I L_I EY_I N_E #1
-LAUGHTER-COMPLAINED-	K_B AX_I M_I P_I L_I EY_I N_I D_E #1
-LAUGHTER-COMPLAINS-	K_B AX_I M_I P_I L_I EY_I N_I Z_E #1
-LAUGHTER-COMPUTER-	K_B AX_I M_I P_I Y_I UW_I T_I ER_E #1
-LAUGHTER-COMPUTERS-	K_B AX_I M_I P_I Y_I UW_I T_I ER_I Z_E #1
-LAUGHTER-CONCERN-	K_B AX_I N_I S_I ER_I N_E #1
-LAUGHTER-CONCERNED-	K_B AX_I N_I S_I ER_I N_I D_E #1
-LAUGHTER-CONDITIONER-	K_B AX_I N_I D_I IH_I SH_I IH_I N_I ER_E #1
-LAUGHTER-CONDITIONING-	K_B AX_I N_I D_I IH_I SH_I IH_I N_I IH_I NG_E #1
-LAUGHTER-CONGRATULATIONS-	K_B AX_I N_I G_I R_I AE_I CH_I AX_I L_I EY_I SH_I IH_I N_I Z_E #1
-LAUGHTER-CONGRESS-	K_B AA_I NG_I G_I R_I IH_I S_E #1
-LAUGHTER-CONSEQUENCES-	K_B AA_I N_I S_I AX_I K_I W_I IH_I N_I S_I IH_I Z_E #1
-LAUGHTER-CONSER-VATIVE--	K_B AA_I N_I S_I ER_E
-LAUGHTER-CONSERVATIVE-	K_B AX_I N_I S_I ER_I V_I AX_I T_I IH_I V_E #1
-LAUGHTER-CONSIDER-	K_B AX_I N_I S_I IH_I D_I ER_E #1
-LAUGHTER-CONSIDERABLY-	K_B AX_I N_I S_I IH_I D_I AX_I R_I AX_I B_I L_I IY_E #1
-LAUGHTER-CONSIDERATION-	K_B AX_I N_I S_I IH_I D_I AX_I R_I EY_I SH_I IH_I N_E #1
-LAUGHTER-CONSISTENT-	K_B AX_I N_I S_I IH_I S_I T_I IH_I N_I T_E #1
-LAUGHTER-CONSTANTLY-	K_B AA_I N_I S_I T_I IH_I N_I T_I L_I IY_E #1
-LAUGHTER-CONTACT-	K_B AA_I N_I T_I AE_I K_I T_E #1
-LAUGHTER-CONTEL-	K_B AA_I N_I T_I EH_I L_E #1
-LAUGHTER-CONTRACT-	K_B AA_I N_I T_I R_I AE_I K_I T_E #1
-LAUGHTER-CONTROL-	K_B AX_I N_I T_I R_I OW_I L_E #1
-LAUGHTER-CONTROVERSY-	K_B AA_I N_I T_I R_I AX_I V_I ER_I S_I IY_E #1
-LAUGHTER-CONVERSATION-	K_B AA_I N_I V_I ER_I S_I EY_I SH_I IH_I N_E #1
-LAUGHTER-CONVERSATIONS-	K_B AA_I N_I V_I ER_I S_I EY_I SH_I IH_I N_I Z_E #1
-LAUGHTER-COOK-	K_B UH_I K_E #1
-LAUGHTER-COOKS-	K_B UH_I K_I S_E #1
-LAUGHTER-COPY-	K_B AA_I P_I IY_E #1
-LAUGHTER-CORN-	K_B OW_I R_I N_E #1
-LAUGHTER-CORNELL-	K_B OW_I R_I N_I EH_I L_E #1
-LAUGHTER-CORRECT-	K_B AX_I R_I EH_I K_I T_E #1
-LAUGHTER-COST-	K_B AO_I S_I T_E #1
-LAUGHTER-COULD-	K_B UH_I D_E #1
-LAUGHTER-COULDN'T-	K_B UH_I D_I EN_I T_E #1
-LAUGHTER-COULDN-'T	K_B UH_I D_I EN_I T_E #2
-LAUGHTER-COUNSELING-	K_B AW_I N_I S_I AX_I L_I IH_I NG_E #1
-LAUGHTER-COUNTER-	K_B AW_I N_I T_I ER_E #1
-LAUGHTER-COUNTRY-	K_B AH_I N_I T_I R_I IY_E #1
-LAUGHTER-COUPLE-	K_B AH_I P_I EL_E #1
-LAUGHTER-COURSE-	K_B OW_I R_I S_E #1
-LAUGHTER-COURTROOM-	K_B OW_I R_I T_I R_I UW_I M_E #1
-LAUGHTER-COUSIN-	K_B AH_I Z_I IH_I N_E #1
-LAUGHTER-COVERAGE-	K_B AH_I V_I AX_I R_I IH_I JH_E #1
-LAUGHTER-COWBOYS-	K_B AW_I B_I OY_I Z_E #1
-LAUGHTER-CRAWL-	K_B R_I AO_I L_E #1
-LAUGHTER-CRAZY-	K_B R_I EY_I Z_I IY_E #1
-LAUGHTER-CREAM-	K_B R_I IY_I M_E #1
-LAUGHTER-CREDIT-	K_B R_I EH_I D_I IH_I T_E #1
-LAUGHTER-CRIME-	K_B R_I AY_I M_E #1
-LAUGHTER-CRIMINAL-	K_B R_I IH_I M_I IH_I N_I AX_I L_E #1
-LAUGHTER-CRITICAL-	K_B R_I IH_I T_I IH_I K_I AX_I L_E #1
-LAUGHTER-CROOKS-	K_B R_I UH_I K_I S_E #1
-LAUGHTER-CRUNCH-	K_B R_I AH_I N_I CH_E #1
-LAUGHTER-CUPS-	K_B AH_I P_I S_E #1
-LAUGHTER-CURB-	K_B ER_I B_E #1
-LAUGHTER-CURE-	K_B Y_I UH_I R_E #1
-LAUGHTER-CUSTOMERS-	K_B AH_I S_I T_I AX_I M_I ER_I Z_E #1
-LAUGHTER-CUT-	K_B AH_I T_E #1
-LAUGHTER-CUTE-	K_B Y_I UW_I T_E #1
-LAUGHTER-D'S-	D_B IY_I Z_E #1
-LAUGHTER-DALLAS-	D_B AE_I L_I AX_I S_E #1
-LAUGHTER-DAMAGE-	D_B AE_I M_I IH_I JH_E #1
-LAUGHTER-DAMN-	D_B AE_I M_E #1
-LAUGHTER-DARK-	D_B AA_I R_I K_E #2
-LAUGHTER-DARKROOM-	D_B AA_I R_I K_I R_I UW_I M_E #1
-LAUGHTER-DARNED-	D_B AA_I R_I N_I D_E #1
-LAUGHTER-DATE-	D_B EY_I T_E #1
-LAUGHTER-DATED-	D_B EY_I T_I IH_I D_E #1
-LAUGHTER-DAY-	D_B EY_E #1
-LAUGHTER-DAYS-	D_B EY_I Z_E #1
-LAUGHTER-DEAD-	D_B EH_I D_E #1
-LAUGHTER-DEADLIEST-	D_B EH_I D_I L_I IY_I IH_I S_I T_E
-LAUGHTER-DEAL-	D_B IY_I L_E #1
-LAUGHTER-DEALERSHIP-	D_B IY_I L_I ER_I SH_I IH_I P_E #1
-LAUGHTER-DEALING-	D_B IY_I L_I IH_I NG_E #1
-LAUGHTER-DEAR-	D_B IY_I R_E #1
-LAUGHTER-DEATH-	D_B EH_I TH_E #1
-LAUGHTER-DEBT-	D_B EH_I T_E #1
-LAUGHTER-DEBTS-	D_B EH_I T_I S_E #1
-LAUGHTER-DECIDED-	D_B IH_I S_I AY_I D_I IH_I D_E #1
-LAUGHTER-DECIMAL-	D_B EH_I S_I IH_I M_I AX_I L_E #1
-LAUGHTER-DECLARE-	D_B IH_I K_I L_I EY_I R_E #1
-LAUGHTER-DECLARED-	D_B IH_I K_I L_I EY_I R_I D_E #1
-LAUGHTER-DECOMPOSES-	D_B IY_I K_I AX_I M_I P_I OW_I Z_I IH_I Z_E #1
-LAUGHTER-DECOROUS-	D_B EH_I K_I AX_I R_I IH_I S_E
-LAUGHTER-DEDICATED-	D_B EH_I D_I IH_I K_I EY_I T_I IH_I D_E #1
-LAUGHTER-DEDUC-TIBLE--	D_B IH_I D_I AH_I K_E
-LAUGHTER-DEER-	D_B IY_I R_E #2
-LAUGHTER-DEFINITE-	D_B EH_I F_I IH_I N_I IH_I T_E #1
-LAUGHTER-DEFINITELY-	D_B EH_I F_I IH_I N_I IH_I T_I L_I IY_E #1
-LAUGHTER-DEFINITION-	D_B EH_I F_I IH_I N_I IH_I SH_I IH_I N_E #1
-LAUGHTER-DEGRADING-	D_B IH_I G_I R_I EY_I D_I IH_I NG_E #1
-LAUGHTER-DEGREE-	D_B AX_I G_I R_I IY_E #1
-LAUGHTER-DELICACY-	D_B EH_I L_I IH_I K_I AX_I S_I IY_E
-LAUGHTER-DELICIOUS-	D_B IH_I L_I IH_I SH_I IH_I S_E #1
-LAUGHTER-DELIVER-	D_B IH_I L_I IH_I V_I ER_E #1
-LAUGHTER-DEMOGRAPHICALLY-	D_B EH_I M_I AX_I G_I R_I AE_I F_I IH_I K_I L_I IY_E #1
-LAUGHTER-DEMONSTRATING-	D_B EH_I M_I AX_I N_I S_I T_I R_I EY_I T_I IH_I NG_E #1
-LAUGHTER-DENT-	D_B EH_I N_I T_E #1
-LAUGHTER-DEPARTMENT-	D_B IH_I P_I AA_I R_I T_I M_I IH_I N_I T_E #1
-LAUGHTER-DEPOSIT-	D_B IH_I P_I AA_I Z_I IH_I T_E #1
-LAUGHTER-DEPRESSED-	D_B IH_I P_I R_I EH_I S_I T_E #1
-LAUGHTER-DEPRESSING-	D_B IH_I P_I R_I EH_I S_I IH_I NG_E #1
-LAUGHTER-DERANGED-	D_B IH_I R_I EY_I N_I JH_I D_E #1
-LAUGHTER-DESERVE-	D_B IH_I Z_I ER_I V_E #1
-LAUGHTER-DESSERT-	D_B IH_I Z_I ER_I T_E #1
-LAUGHTER-DEW-	D_B UW_E #1
-LAUGHTER-DID-	D_B IH_I D_E #1
-LAUGHTER-DIDN'T-	D_B IH_I D_I EN_I T_E #1
-LAUGHTER-DIE-	D_B AY_E #1
-LAUGHTER-DIED-	D_B AY_I D_E #1
-LAUGHTER-DIFFERENCE-	D_B IH_I F_I AX_I R_I IH_I N_I S_E #1
-LAUGHTER-DIFFERENT-	D_B IH_I F_I AX_I R_I IH_I N_I T_E #1
-LAUGHTER-DIFFERENTLY-	D_B IH_I F_I R_I IH_I N_I T_I L_I IY_E #1
-LAUGHTER-DIFFICULT-	D_B IH_I F_I IH_I K_I AX_I L_I T_E #1
-LAUGHTER-DIFFICULTY-	D_B IH_I F_I IH_I K_I AH_I L_I T_I IY_E
-LAUGHTER-DINNER-	D_B IH_I N_I ER_E #1
-LAUGHTER-DINNERS-	D_B IH_I N_I ER_I Z_E #1
-LAUGHTER-DIRECT-	D_B IH_I R_I EH_I K_I T_E #1
-LAUGHTER-DIRECTION-	D_B IH_I R_I EH_I K_I SH_I IH_I N_E #1
-LAUGHTER-DIRT-	D_B ER_I T_E #1
-LAUGHTER-DIRTY-	D_B ER_I T_I IY_E #1
-LAUGHTER-DISAPPOINTING-	D_B IH_I S_I AX_I P_I OY_I N_I T_I IH_I NG_E #1
-LAUGHTER-DISCIPLINARIAN-	D_B IH_I S_I IH_I P_I L_I IH_I N_I EH_I R_I IY_I IH_I N_E #1
-LAUGHTER-DISSERTATION-	D_B IH_I S_I ER_I T_I EY_I SH_I IH_I N_E #1
-LAUGHTER-DISTANCE-	D_B IH_I S_I T_I IH_I N_I S_E #1
-LAUGHTER-DIVORCE-	D_B IH_I V_I OW_I R_I S_E #1
-LAUGHTER-DO-	D_B UW_E #2
-LAUGHTER-DOCTOR-	D_B AA_I K_I T_I ER_E #1
-LAUGHTER-DODGE-	D_B AA_I JH_E #1
-LAUGHTER-DOE-S--	D_B AH_E #1
-LAUGHTER-DOES-	D_B AH_I Z_E #1
-LAUGHTER-DOESN'T-	D_B AH_I Z_I EN_I T_E #1
-LAUGHTER-DOG-	D_B AO_I G_E #1
-LAUGHTER-DOING-	D_B UW_I IH_I NG_E #1
-LAUGHTER-DOLLAR-	D_B AO_I L_I ER_E #1
-LAUGHTER-DOLLARS-	D_B AO_I L_I ER_I Z_E #1
-LAUGHTER-DOLLED-	D_B AO_I L_I D_E #1
-LAUGHTER-DON'-T--	D_B OW_I N_E #1
-LAUGHTER-DON'T-	D_B OW_I N_I T_E #1
-LAUGHTER-DONE-	D_B AH_I N_E #1
-LAUGHTER-DOOR-	D_B OW_I R_E #2
-LAUGHTER-DORM-	D_B OW_I R_I M_E #1
-LAUGHTER-DOUBT-	D_B AW_I T_E #1
-LAUGHTER-DOWN-	D_B AW_I N_E #1
-LAUGHTER-DOWNSTREAM-	D_B AW_I N_I S_I T_I R_I IY_I M_E #1
-LAUGHTER-DOZEN-	D_B AH_I Z_I IH_I N_E #1
-LAUGHTER-DRESS-	D_B R_I EH_I S_E #1
-LAUGHTER-DRESSED-	D_B R_I EH_I S_I T_E #1
-LAUGHTER-DRESSES-	D_B R_I EH_I S_I IH_I Z_E #1
-LAUGHTER-DRINK-	D_B R_I IH_I NG_I K_E #1
-LAUGHTER-DRIVE-	D_B R_I AY_I V_E #1
-LAUGHTER-DRIVING-	D_B R_I AY_I V_I IH_I NG_E #1
-LAUGHTER-DROUGHT-	D_B R_I AW_I T_E #1
-LAUGHTER-DROVE-	D_B R_I OW_I V_E #1
-LAUGHTER-DROWN-	D_B R_I AW_I N_E #1
-LAUGHTER-DRUGS-	D_B R_I AH_I G_I Z_E #1
-LAUGHTER-DRY-	D_B R_I AY_E #1
-LAUGHTER-DUES-	D_B UW_I Z_E #2
-LAUGHTER-DURING-	D_B UH_I R_I IH_I NG_E #1
-LAUGHTER-DUSTIN-	D_B AH_I S_I T_I IH_I N_E #1
-LAUGHTER-E-MINENTLY--	EH_B M_I IH_I N_I IH_I N_I T_I L_I IY_E #1
-LAUGHTER-E-XACTLY--	EH_S #2
-LAUGHTER-EACH-	IY_B CH_E #1
-LAUGHTER-EARLIER-	ER_B L_I IY_I ER_E #1
-LAUGHTER-EARLY-	ER_B L_I IY_E #1
-LAUGHTER-EARS-	IY_B R_I Z_E #1
-LAUGHTER-EASIER-	IY_B Z_I IY_I ER_E #1
-LAUGHTER-EASTERN-	IY_B S_I T_I ER_I N_E #1
-LAUGHTER-EASY-	IY_B Z_I IY_E #1
-LAUGHTER-EAT-	IY_B T_E #1
-LAUGHTER-EATING-	IY_B T_I IH_I NG_E #1
-LAUGHTER-EFFECT-	IH_B F_I EH_I K_I T_E #1
-LAUGHTER-EFFECTIVE-	IH_B F_I EH_I K_I T_I IH_I V_E #1
-LAUGHTER-EIGHT-	EY_B T_E #2
-LAUGHTER-EIGHTEEN-	EY_B T_I IY_I N_E #1
-LAUGHTER-EIGHTY-	EY_B T_I IY_E #1
-LAUGHTER-EITHER-	AY_B DH_I ER_E #1
-LAUGHTER-ELECTORAL-	IH_B L_I EH_I K_I T_I AX_I R_I AX_I L_E #1
-LAUGHTER-ELSE'S-	EH_B L_I S_I IH_I Z_E #1
-LAUGHTER-ELSE-	EH_B L_I S_E #1
-LAUGHTER-EMBARRASSING-	EH_B M_I B_I AE_I R_I AX_I S_I IH_I NG_E #1
-LAUGHTER-EMBARRASSMENT-	EH_B M_I B_I AE_I R_I AX_I S_I M_I IH_I N_I T_E #1
-LAUGHTER-EMERGENCIES-	IH_B M_I ER_I JH_I IH_I N_I S_I IY_I Z_E #1
-LAUGHTER-EMERGENCY-	IH_B M_I ER_I JH_I IH_I N_I S_I IY_E #1
